;683963012;6350804;CDN;1055802547;BER2406;BERGERAC                ;24100;BERGERAC;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963012;6350808;CDN;1055802547;BER2406;BERGERAC                ;24100;BERGERAC;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963012;6350812;CDN;1055802547;BER2406;BERGERAC                ;24100;BERGERAC;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963013;6350816;CDN;1046802517;TNT25BES;BESANCON;25000;BESANCON;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963013;6350821;CDN;1046802517;TNT25BES;BESANCON;25000;BESANCON;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963014;6350825;CDN;1055802527;CHX3602;CHATEAUROUX             ;36000;CHATEAUROUX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963014;6350829;CDN;1055802527;CHX3602;CHATEAUROUX             ;36000;CHATEAUROUX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963014;6350833;CDN;1055802527;CHX3602;CHATEAUROUX             ;36000;CHATEAUROUX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963014;6350837;CDN;1055802527;CHX3602;CHATEAUROUX             ;36000;CHATEAUROUX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963014;6350841;CDN;1055802527;CHX3602;CHATEAUROUX             ;36000;CHATEAUROUX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963014;6350845;CDN;1055802527;CHX3602;CHATEAUROUX             ;36000;CHATEAUROUX;Cat2+Fax;1PS54A;HP LJ MFP E52645DN;MA6446938;NLCVP5212N;2021/10/18;A preparer;INCONNUE
;683963015;6350852;CDN;1055804541;TRS3703;ENTREPRISES VAL DE LOIRE;37019;TOURS CEDEX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963015;6350856;CDN;1055804541;TRS3703;ENTREPRISES VAL DE LOIRE;37019;TOURS CEDEX;Cat2+Fax;1PS54A;HP LJ MFP E52645DN;MA6446939;NLCVP530C8;2021/10/18;A preparer;INCONNUE
;683963017;6350864;CDN;1055802625;TRS3703;TOURS BERANGER          ;37019;TOURS CEDEX;Cat2;1PS54A;HP LJ MFP E52645DN;MA6446948;NLCVP530BZ;2021/10/18;A preparer;INCONNUE
;683963017;6350870;CDN;1055802625;TRS3703;TOURS BERANGER          ;37019;TOURS CEDEX;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963018;6350874;CDN;1055804525;TRS3703;GROUPE VAL DE LOIRE     ;37019;TOURS CEDEX;Cat4;3GY25A;HP CLJ MFP E57540DN;;;2021/10/18;A preparer;
;683963021;6350883;CDN;1055804514;TRS3703;TOURS MAGINOT           ;37100;TOURS;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963021;6350888;CDN;1055804514;TRS3703;TOURS MAGINOT           ;37100;TOURS;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963022;6350892;CDN;1046802301;GRE3806;SAINT MARCELLIN;38160;SAINT MARCELLIN;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963022;6350897;CDN;1046802301;GRE3806;SAINT MARCELLIN;38160;SAINT MARCELLIN;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963022;6350901;CDN;1046802301;GRE3806;SAINT MARCELLIN;38160;SAINT MARCELLIN;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963023;6350905;CDN;1046802416;GRE3806;VOREPPE;38340;VOREPPE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963023;6350910;CDN;1046802416;GRE3806;VOREPPE;38340;VOREPPE;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963024;6350914;CDN;1046802498;GRE3806;VOIRON;38500;VOIRON;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963024;6350919;CDN;1046802498;GRE3806;VOIRON;38500;VOIRON;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963024;6350923;CDN;1046802498;GRE3806;VOIRON;38500;VOIRON;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963025;6350927;CDN;1055804543;TNT41BLO;BLOIS                   ;41000;BLOIS;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963025;6350932;CDN;1055804543;TNT41BLO;BLOIS                   ;41000;BLOIS;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963026;6350936;CDN;1046802634;STE4204;LOIRE-PAYS VIENNOIS ENTREPRISES;42000;ST ETIENNE;Cat2;1PS54A;HP LJ MFP E52645DN;MA6446949;NLCVP530BF;2021/10/18;A preparer;INCONNUE
;683963026;6350942;CDN;1046802634;STE4204;LOIRE-PAYS VIENNOIS ENTREPRISES;42000;ST ETIENNE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963027;6350947;CDN;1046802295;STE4204;SAINT ETIENNE DORIAN;42000;ST ETIENNE;Cat2;1PS54A;HP LJ MFP E52645DN;MA6446950;NLCVP530BN;2021/10/18;A preparer;INCONNUE
;683963027;6350953;CDN;1046802295;STE4204;SAINT ETIENNE DORIAN;42000;ST ETIENNE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963027;6350958;CDN;1046802295;STE4204;SAINT ETIENNE DORIAN;42000;ST ETIENNE;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963028;6350962;CDN;1325902789;TRY1002; CHAUMONT;52000;CHAUMONT;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963029;6350966;CDN;1046802296;COLITEL-69;LYON VAISE;69009;LYON;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963029;6350971;CDN;1046802296;COLITEL-69;LYON VAISE;69009;LYON;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963030;6350975;CDN;1046804407;COLITEL-69;GROUPE OUEST LYONNAIS FOREZ;69009;LYON;Cat4;3GY25A;HP CLJ MFP E57540DN;;;2021/10/18;A preparer;
;683963030;6350984;CDN;1046804407;COLITEL-69;GROUPE OUEST LYONNAIS FOREZ;69009;LYON;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963033;6350988;CDN;1046804410_GDG;COLITEL-69;STE FOY;69110;SAINT FOY LES LYON;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963033;6350993;CDN;1046804410_GDG;COLITEL-69;STE FOY;69110;SAINT FOY LES LYON;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963034;6350997;CDN;1046802293;COLITEL-69;ECULLY;69130;ECULLY;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963034;6351002;CDN;1046802293;COLITEL-69;ECULLY;69130;ECULLY;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963035;6351006;CDN;1046804410_REP;COLITEL-69;TASSIN STE FOY;69160;TASSIN LA DEMI LUNE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963035;6351011;CDN;1046804410_REP;COLITEL-69;TASSIN STE FOY;69160;TASSIN LA DEMI LUNE;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963036;6351015;CDN;1046802247;COLITEL-69;DARDILLY;69570;DARDILLY;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963036;6351020;CDN;1046802247;COLITEL-69;DARDILLY;69570;DARDILLY;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963037;6351024;CDN;1046802287;COLITEL-69;OULLINS;69600;OULLINS;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963037;6351029;CDN;1046802287;COLITEL-69;OULLINS;69600;OULLINS;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963037;6351033;CDN;1046802287;COLITEL-69;OULLINS;69600;OULLINS;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963038;6351037;CDN;1022804621;CHY7303; ALBERTVILLE;73200;ALBERTVILLE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963038;6351042;CDN;1022804621;CHY7303; ALBERTVILLE;73200;ALBERTVILLE;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963039;6351046;CDN;1022804625;CHY7303; ST JEAN DE MAURIENNE;73300;ST JEAN DE MAURIENNE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
;683963039;6351051;CDN;1022804625;CHY7303; ST JEAN DE MAURIENNE;73300;ST JEAN DE MAURIENNE;Cat1;3PZ35A;HP LJ E40040DN;;;2021/10/18;A preparer;
;683963040;6351055;CDN;1022804609;CHY7303; MOUTIERS TARENTAISE;73600;MOUTIERS TARENTAISE;Cat2FE;3PZ75A;HP LJ MFP E42540F;;;2021/10/18;A preparer;
